00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 bb 8b 04 08
/*
08049378 <getbuf>:
 8049378:	55                   	push   %ebp
 8049379:	89 e5                	mov    %esp,%ebp
 804937b:	83 ec 28             	sub    $0x28,%esp
 804937e:	83 ec 0c             	sub    $0xc,%esp
 8049381:	8d 45 d8             	lea    -0x28(%ebp),%eax
 8049384:	50                   	push   %eax
 8049385:	e8 9e fa ff ff       	call   8048e28 <Gets>
 804938a:	83 c4 10             	add    $0x10,%esp
 804938d:	b8 01 00 00 00       	mov    $0x1,%eax
 8049392:	c9                   	leave  
 8049393:	c3                   	ret    
*/
